id_osoby;imie;nazwisko
1;Jan;Kowalski
2;Ada;Krawczyk
3;Patryk;Magierowicz
4;Piotr;Jakus
5;Stefan;Gagatek
6;Leon;Banach
7;Alicja;Pisarska
8;Ewelia;Otwocka
9;Patrycja;Pleszewska
10;Adam;Tkacz
11;Anita;Berezowska
12;Piotr;Nyski
13;Kornel;Henrykowski
14;Jan;Bugajski
15;Janusz;Nawrot
16;Jerzy;Adamski
17;Danuta;Majka
18;Jan;Busz
19;Grzegorz;Potocki
20;Karol;Badowski
21;Krzysztof;Ksel
22;Tadeusz;Szczygielski
23;Szymon;Grzeskowiak
24;Janusz;Mazurowski
25;Anita;Pietrzyk
26;Zenon;Celej
27;Zenon;Barski
28;Anna;Anusz
29;Paulina;Podlaska
30;Zofia;Augustyn
31;Halina;Bitner
32;Karol;Aderek
33;Danuta;Grdulska
34;Leszek;Pigulski
35;Roman;Kos
36;Anna;Firlej
37;Kazimierz;Baran
38;Henryk;Misztal
39;Dorota;Cichawa
40;Jan;Wnuk
41;Barbara;Banaszczyk
42;Jerzy;Sycowski
43;Martyna;Rybicka
44;Norbert;Tomczyk
45;Lech;Bek
46;Wojciech;Otwinowski
47;Iwona;Balcer
48;Genowefa;Kumur
49;Joanna;Mielecka
50;Daniel;Bandera
51;Zofia;Barwicka
52;Karol;Bolkowski
53;Ewelina;Bajda
54;Dominika;Polkowicka
55;Barbara;Holmes
56;Ewa;Wichrowa
57;Zenon;Pietruszka
58;Kazimiera;Parczewska
59;Monika;Jasiak
60;Zenon;Barcikowski
61;Zbigniew;Sitarek
62;Krystian;Antos
63;Patrycja;Czarnoleska
64;Katarzyna;Piotrkowska
65;Roman;Jedlikowski
66;Tomasz;Grzmil
67;Zofia;Cedro
68;Tomasz;Zychowicz
69;Adam;Piwnik
70;Roman;Iwanowski
71;Marek;Borowik
72;Waldemar;Babiarz
73;Joanna;Zasada
74;Cezary;Barczyk
75;Zofia;Alot
76;Marceli;Muraszkowski
77;Adam;Berezowski
78;Robert;Falek
79;Tadeusz;Duralski
80;Maria;Jackowska
81;Wojciech;Czernicki
82;Jan;Kulak
83;Krystyna;Aleksandrowicz
84;Joanna;Albert
85;Adam;Berus
86;Jadwiga;Podstawa
87;Jan;Chamerski
88;Aleksandra;Kubiak
89;Maria;Rejkowicz
90;Halina;Barszczewska
91;Jaromir;Boss
92;Zenon;Biernacki
93;Krystyna;Barabasz
94;Stefan;Bosman
95;Ewa;Kilarski
96;Jan;Wochniak
97;Zygmunt;Balcerek
98;Henryk;Jakubczyk
99;Krzysztof;Hentel
100;Karol;Golanczyk
101;Krystyna;Blacharz
102;Ewa;Kaczan
103;Zbigniew;Kunka
104;Bartosz;Banaszkiewicz
105;Andrzej;Banasiewicz
106;Katarzyna;Iwaszko
107;Karina;Legnicka
108;Urszula;Cender
109;Martyna;Cabaj
110;Jan;Adamiec
111;Henryk;Lapa
112;Kazimiera;Bartosiak
113;Karolina;Szklarska
114;Maria;Zamojska
115;Ewa;Klimaszewska
116;Anna;Trzebnicka
117;Paulina;Suwalska
118;Barbara;Andrzejewska
119;Damian;Chmielewski
120;Wiktoria;Sznyrowska
121;Ryszard;Orlik
122;Jadwiga;Wiek
123;Justyna;Krynicka
124;Ireneusz;Ogonowski
125;Adam;Barszcz
126;Irena;Adamczyk
127;Bohdan;Waz
128;Narcyz;Polanicki
129;Rita;Warszawska
130;Piotr;Augustyniak
131;Stefano;Gates
132;Wiktor;Pilski
133;Tomasz;Sawyer
134;Krzysztof;Krok
135;Barbara;Barcik
136;Jan;Chrust
137;Marek;Dziekan
138;Adam;Zugaj
139;Zyta;Barcikowska
140;Danuta;Kuc
141;Piotr;Bansik
142;Zofia;Banasik
143;Piotr;Krakowiak
144;Kazimierz;Przemyski
145;Roman;Milion
146;Anna;Malinowska
147;Katarzyna;Burkiewicz
148;Patrycja;Gren
149;Urszula;Specjalna
150;Weronika;Makowska
151;Agnieszka;Glowaj
152;Monika;Sibilska
153;Krzysztof;Czekaj
154;Ilona;Gawron
155;Marcin;Krukowski
156;Piotr;Odolanowski
157;Maria;Wysocka
158;Eugeniusz;Jaworski
159;Wojciech;Jagielski
160;Jakub;Burski
161;Hanna;Lewaszkiewicz
162;Agata;Jancewicz
163;Jan;Abrich
164;Honorata;Siwek
165;Aurelia;Stawikowska
